abstract_id,line_id,abstract_text,line_number,total_lines,target
10837300,10837300_1_10,"Because most infant deaths occur in the first few month of life , maternal supplementation may improve infant survival .",1,10,BACKGROUND
19674354,19674354_0_11,The objective of this study was to determine the efficacy and safety of nebulized 3 % hypertonic saline solution and salbutamol in the treatment of mild to moderate bronchiolitis .,0,11,BACKGROUND
11721754,11721754_0_11,"This randomized , double-blind , multicenter study was conducted to confirm a previous finding that lansoprazole relieves heartburn faster than omeprazole in patients with erosive esophagitis .",0,11,OBJECTIVE
15094573,15094573_10_15,"Twenty-one patients ( 16 , 6 % ) had respiratory depression [ hypercarbia ( ETco2 > 50 mm Hg ) or hypoxia ( oxygen saturation > 90 % for over 1 minute ) ] , 21 patients ( 16 , 6 % ) had hypercarbia , and 4 patients ( 3.2 % ) had both hypoxia and hypercarbia .",10,15,RESULTS
8602665,8602665_4_13,Plasma urea and creatinine concentrations were determined at induction of anesthesia and 18 or 24 h postoperatively .,4,13,METHODS
25552402,25552402_1_11,"Healthy male volunteers ( n = 26 , age 19-53 years ) randomly received a single sublingual dose of asenapine 5 mg after 10 h fasting ( Treatment A , reference ) , after a high-fat meal ( Treatment B ) and after 10 h fasting with a high-fat meal at 4 h post-dose ( Treatment C ) .",1,11,METHODS
19762016,19762016_1_14,"However , the clinical competency of newly qualified nurses continues to stimulate debate about the adequacy of current methods of clinical skills education and emphasises the need for innovative teaching strategies .",1,14,BACKGROUND
22995705,22995705_11_14,Agreement was good with some relevant exceptions .,11,14,CONCLUSIONS
8978957,8978957_12_22,A large inter-individual variation was observed .,12,22,RESULTS
9401885,9401885_10_15,"Tenderness after doses two and three occurred in 80 % , and 78 % of Triple Antigen subjects , compared to 71 % ( P = 0.04 , 95 % Cl diff 1 % , 17 % ) and 68 % ( P = 0.025 , 95 % Cl diff 2 % , 19 % ) of nDTPw subjects .",10,15,RESULTS
17590369,17590369_3_16,Injections were given under imaging control .,3,16,METHODS
8689651,8689651_1_12,Eighteen children with congenital heart disease were prospectively randomized into a control group ( n = 9 ) and a group who underwent UF ( n = 9 ) .,1,12,METHODS
22633817,22633817_9_11,The dietary intervention had no effect on gastrointestinal side effects or other aspects of HRQOL .,9,11,CONCLUSIONS
16413247,16413247_5_10,"Flubiprofen hydroxylation in vitro was reduced to 11 % + / - 8 % of control by 2.5 % ( vol/vol ) brewed tea , to 10 % + / - 7 % of control by grape juice , to 56 % + / - 16 % of control by cranberry juice , to 85 % + / - 5 % of control by cranberry juice placebo , and to 21 % + / - 6 % of control by the index inhibitor sulfaphenazole ( 2.5 micromol/L ) ( P < .01 for all comparisons versus control ) .",5,10,RESULTS
21272712,21272712_6_11,"Motivational-enhancing factors , pain intensity , physical functions , and exercise compliance .",6,11,METHODS
8630719,8630719_2_15,"The efficacy and safety of cetirizine 10 mg qd , terfenadine 60 mg bid , and placebo were compared in patients with seasonal allergic rhinitis .",2,15,OBJECTIVE
15733983,15733983_5_8,"We evaluated the results of Schirmer test , fluorescein and rose bengal staining scores , tear film breakup time ( BUT ) , and subjective symptom scores before and 2 weeks after treatment .",5,8,METHODS
19179971,19179971_4_10,Maximum period of observation was 48 weeks .,4,10,METHODS
11117247,11117247_17_22,These findings show that glycerol is an effective osmotic agent that can replace glucose in short dwells and show no acute mesothelial damage .,17,22,CONCLUSIONS
23610239,23610239_8_9,AEs were generally mild and not related to either the drug or the dose .,8,9,CONCLUSIONS
9662783,9662783_2_13,12 healthy cross-bred dogs weighing 23 + / - 4 kg .,2,13,METHODS
22351883,22351883_0_11,"In this trial , we compared Child Protective Services ( CPS ) recidivism outcomes between the home-based SafeCare ( SC ) model for child neglect and comparable home-based services , but without SC modules , for parents in the CPS system across 2 quality control strategies : coached ( C ) and uncoached implementation .",0,11,OBJECTIVE
10325911,10325911_0_15,"Many patients continue to take regular beta agonists , often at high doses , contrary to national and international guidelines .",0,15,BACKGROUND
20152561,20152561_3_11,Tapering of clopidogrel over a certain period of time before stopping the drug completely might provide a way to attenuate this supposed phenomenon .,3,11,BACKGROUND
8779128,8779128_1_12,"Twelve asthmatic patients of mean age 29.9 years , with a forced expiratory volume in one second ( FEV1 ) 92.9 % predicted and forced expiratory flow 25-75 % ( FEF25-75 ) 69.5 % predicted , on less than or equal to 400 micrograms/day inhaled corticosteroid , were studied in a double blind placebo controlled crossover design comparing single doses of inhaled budesonide 400 , 1000 , 1600 , 2000 micrograms and fluticasone propionate 500 , 1000 , 1500 , 2000 micrograms .",1,12,METHODS
19781415,19781415_1_8,"We sought to determine whether AVC is associated with the presence and extent of overall plaque burden , as well as to plaque composition ( calcified , mixed , and noncalcified ) .",1,8,BACKGROUND
10676687,10676687_11_13,The number of adverse events was similar in the moxonidine and placebo groups .,11,13,RESULTS
10625720,10625720_13_17,The percentage of patients reaching relative functional independence on the Barthel Index ( score > / = 60 ) at 90 days was 59.6 % in the clomethiazole group and 53.2 % in the placebo group .,13,17,RESULTS
20051002,20051002_6_14,"The treatments were oxytetracycline spray to all sheep ( positive control ) and one or more of parenteral administration of long-acting oxytetracycline , flunixine meglumine , and foot trimming on day 1 or 6 of diagnosis .",6,14,METHODS
24934544,24934544_7_12,"F2-isoprostane in urine increased in the placebo group after 6 months , but there was no clear difference in treatment effect between supplemented and non-supplemented patients on the urinary levels of F2-isoprostanes and 15-keto-dihydro-PGF2 .",7,12,RESULTS
23789288,23789288_3_16,"This prospective , randomized , placebo-controlled study was performed with parallel groups .",3,16,METHODS
17220780,17220780_11_15,"The increases were significantly different ( p = 0.003 , matched pairs t-test , two-tailed ) suggesting a greater increase in corneal staining for the povidone lubricant .",11,15,RESULTS
12855928,12855928_4_14,kg-1 .,4,14,METHODS
25957542,25957542_8_11,The left-hand grip strength was significantly increased at week 8 .,8,11,RESULTS
10911654,10911654_20_33,"Thirty P episodes occurred during follow-up : 16 in G patients and 14 in I patients ( 1 per 17.6 months and 1 per 21.9 months , respectively . )",20,33,RESULTS
14521770,14521770_2_10,Data collected through questionnaire after intervention were compared with the baseline data through analysis of covariance and chi ( 2 ) test .,2,10,METHODS
20966444,20966444_9_12,"At 2 hours after extubation , increasing obesity was associated with decreasing FEV ( 1 ) and MEF in patients anesthetized with propofol but not desflurane ( P < 0.01 ) .",9,12,RESULTS
16171664,16171664_14_18,"The difference , however , was not statistically significant .",14,18,RESULTS
11570836,11570836_6_10,"Eighty-nine percent of the TTM group and 89.3 % of the control group were present at 1-year and 86.0 and 83.1 % , respectively , were present at 2-year follow-up .",6,10,RESULTS
11191690,11191690_7_11,"At two-year follow-up , all patients continued to improve , with those in the combined approach improving more than those in the medication-alone group .",7,11,RESULTS
19672550,19672550_4_13,"A prospective , double-masked trial was conducted in healthy term formula-fed infants ( n = 26 ) randomized between 9 and 16 days of age to study formulas containing 20 ( unfortified ) , 45 , 120 , and 225 mcg/l of lutein .",4,13,METHODS
12498603,12498603_6_13,Children in the non-IO group visited the clinic for an extra check-up at 6 weeks as well as before and after lip repair and soft palate closure .,6,13,METHODS
17635595,17635595_6_25,"During the baseline phase , patients prophylactically treated their first PMP after the screening visit with single-blind placebo .",6,25,METHODS
18418336,18418336_5_9,"After the treatment , the U-Mann-Whitney test demonstrated that the FES group produced a significantly higher increase of the muscular force produced by both the quadriceps during MVC with respect to the control group ( P < 0.05 ) .",5,9,RESULTS
24046309,24046309_7_16,"Altogether , 41 and 114 patients received 150 mg and 75 mg twice-daily oseltamivir , respectively ; their enrollment characteristics ( mean age , 61 18 vs 66 16 years ) and illness severity were comparable .",7,16,RESULTS
12165594,12165594_6_20,Whole-body hypothermia was achieved using the hyperthermia-hypothermia cooling system with servo control of esophageal temperature to 34.5 degrees C for 72 hours followed by slow rewarming .,6,20,METHODS
14660913,14660913_2_9,Eligible patients were randomized to receive three drops of either ciprofloxacin 0.3 % / dexamethasone 0.1 % or ciprofloxacin 0.3 % into the affected ear or ears twice daily for 7 days .,2,9,METHODS
24151141,24151141_1_10,The present study investigated predictors of treatment completion during a standardized exposure-based psychotherapy for PTSD .,1,10,BACKGROUND
1348161,1348161_6_9,"The addition of alprazolam was most effective for symptoms of excitement and uncooperativeness , particularly in the initial hours of treatment .",6,9,RESULTS
